sid,sname,preview_url,album_art,duration
76913,High Ball Stepper,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1f/2e/2c/1f2e2cb9-361a-d469-19a3-0bf1ed3371ea/mzaf_9436058038264530301.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/fb/2c/ef/fb2cef51-6b5c-34a6-e6f2-ee1fa96b945b/886444535830.jpg/88x88bb.jpg,232853
58055,Speed of Light,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b0/12/3f/b0123f20-311e-688e-a3f5-956cf9fab8c8/mzaf_15692472056443326869.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/04/c3/37/04c337db-e336-e47e-63ea-fc37fc5d5827/859708022988_cover.jpg/88x88bb.jpg,215307
25750,Oh It's Christmas,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5c/df/b6/5cdfb657-8c73-dd1a-05cb-2da8e858479b/mzaf_15738648280622935777.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/a3/b3/f0/a3b3f0cb-2e6e-744d-e29a-91531dd74ea9/859709159362_cover.jpg/88x88bb.jpg,181640
138334,This Christmas (Underneath the Christmas Tree),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/74/78/fb/7478fb51-353b-65a3-35fb-3e717af81509/mzaf_11404192936092695669.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/fe/a2/c5/fea2c50d-1f53-d954-cf0f-d295a402097f/192562019894.jpg/88x88bb.jpg,172627
138336,O Holy Night,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1d/82/2a/1d822aea-b43d-8147-e89c-ba75add6d9c1/mzaf_11200478024360271905.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/d8/67/92/mzi.yvzitwua.jpg/88x88bb.jpg,132494
138322,Jingle Bells,,,0
138335,I Know You’re Real St. Nicholas,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview62/v4/c1/79/93/c17993ec-481b-5fd5-5a3f-75cce842ce62/mzaf_8188926323146789897.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music62/v4/d6/80/85/d680857e-d799-a27a-ecd5-522108f946d9/859718446583_cover.jpg/88x88bb.jpg,194173
138385,O Come All Ye Faithful,https://p.scdn.co/mp3-preview/458fb8040a4001dfe2ae6681367312d31db07425?cid=c97bc8de524748dba7f936ea8307a6c1,https://i.scdn.co/image/ab67616d000048510d241c813625221ac0e2fcb1,229466
89179,Up On the Housetop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d9/5c/d2/d95cd22c-3664-4669-93b8-40eccf1e5ad6/mzaf_9221355381347957448.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d00004851e1862dfb8575af5898424d5e,134285
138346,Deck The Halls (feat. Madelaine Petsch),,,0
